"sampleid" "diet" "day_post_inf" "mouse_id" "study" "diet_true" "high_fat" "high_fiber" "purified_diet" "seq_depth"
"139" "1_0415_9693" "HF/HF" -3 9693 1 "HF/HF" 1 1 1 20803
"140" "1_0418_9693" "HF/HF" 0 9693 1 "HF/HF" 1 1 1 31618
"141" "1_0421_9693" "HF/HF" 3 9693 1 "HF/HF" 1 1 1 41380
"142" "1_0403_9694" "HF/HF" -15 9694 1 "Chow" 0 1 0 40434
"143" "1_0410_9694" "HF/HF" -8 9694 1 "HF/HF" 1 1 1 41077
"144" "1_0415_9694" "HF/HF" -3 9694 1 "HF/HF" 1 1 1 17674
"145" "1_0418_9694" "HF/HF" 0 9694 1 "HF/HF" 1 1 1 49866
"146" "1_0421_9694" "HF/HF" 3 9694 1 "HF/HF" 1 1 1 48525
"147" "1_0403_9699" "HF/HF" -15 9699 1 "Chow" 0 1 0 42393
"148" "1_0410_9699" "HF/HF" -8 9699 1 "HF/HF" 1 1 1 47707
"149" "1_0415_9699" "HF/HF" -3 9699 1 "HF/HF" 1 1 1 23730
"150" "1_0418_9699" "HF/HF" 0 9699 1 "HF/HF" 1 1 1 55076
"151" "1_0421_9699" "HF/HF" 3 9699 1 "HF/HF" 1 1 1 46052
"152" "2_0418_9750" "HF/HF" -15 9750 2 "Chow" 0 1 0 41920
"153" "2_0425_9750" "HF/HF" -8 9750 2 "HF/HF" 1 1 1 46442
"154" "2_0430_9750" "HF/HF" -3 9750 2 "HF/HF" 1 1 1 40444
"155" "2_0503_9750" "HF/HF" 0 9750 2 "HF/HF" 1 1 1 37664
"156" "2_0425_9755" "HF/HF" -8 9755 2 "HF/HF" 1 1 1 51105
"157" "2_0430_9755" "HF/HF" -3 9755 2 "HF/HF" 1 1 1 23197
"158" "2_0503_9755" "HF/HF" 0 9755 2 "HF/HF" 1 1 1 48412
"159" "2_0425_9756" "HF/HF" -8 9756 2 "HF/HF" 1 1 1 55486
"160" "2_0430_9756" "HF/HF" -3 9756 2 "HF/HF" 1 1 1 31415
"161" "2_0503_9756" "HF/HF" 0 9756 2 "HF/HF" 1 1 1 51067
"162" "2_0425_9757" "HF/HF" -8 9757 2 "HF/HF" 1 1 1 55071
"163" "2_0430_9757" "HF/HF" -3 9757 2 "HF/HF" 1 1 1 34811
"164" "2_0503_9757" "HF/HF" 0 9757 2 "HF/HF" 1 1 1 44467
"165" "2_0425_9758" "HF/HF" -8 9758 2 "HF/HF" 1 1 1 45182
"166" "2_0430_9758" "HF/HF" -3 9758 2 "HF/HF" 1 1 1 40388
"167" "2_0503_9758" "HF/HF" 0 9758 2 "HF/HF" 1 1 1 51120
"168" "2_0506_9758" "HF/HF" 3 9758 2 "HF/HF" 1 1 1 40045
"169" "3_0516_9836" "HF/HF" -15 9836 3 "Chow" 0 1 0 29275
"170" "3_0523_9836" "HF/HF" -8 9836 3 "HF/HF" 1 1 1 31921
"171" "3_0516_9837" "HF/HF" -15 9837 3 "Chow" 0 1 0 26365
"172" "3_0523_9837" "HF/HF" -8 9837 3 "HF/HF" 1 1 1 30988
"173" "3_0516_9838" "HF/HF" -15 9838 3 "Chow" 0 1 0 38352
"174" "3_0523_9838" "HF/HF" -8 9838 3 "HF/HF" 1 1 1 34339
"175" "3_0516_9839" "HF/HF" -15 9839 3 "Chow" 0 1 0 50220
"176" "3_0523_9859" "HF/HF" -8 9839 3 "HF/HF" 1 1 1 44913
"177" "3_0523_9839" "HF/HF" -8 9839 3 "HF/HF" 1 1 1 34062
"178" "3_0516_9840" "HF/HF" -15 9840 3 "Chow" 0 1 0 30026
"179" "3_0523_9840" "HF/HF" -8 9840 3 "HF/HF" 1 1 1 39070
"180" "71.98.0801" "LF/HF" -15 98 7 "Chow" 0 1 0 32748
"181" "74.98.0816" "LF/HF" 0 98 7 "LF/HF" 0 1 1 36475
"182" "71.99.0801" "LF/HF" -15 99 7 "Chow" 0 1 0 33187
"183" "72.99.0808" "LF/HF" -8 99 7 "LF/HF" 0 1 1 32740
"184" "74.99.0816" "LF/HF" 0 99 7 "LF/HF" 0 1 1 29163
"185" "75.99.0819" "LF/HF" 3 99 7 "LF/HF" 0 1 1 34546
"186" "71.100.0801" "LF/HF" -15 100 7 "Chow" 0 1 0 30063
"187" "72.100.0808" "LF/HF" -8 100 7 "LF/HF" 0 1 1 37210
"188" "73.100.0813" "LF/HF" -3 100 7 "LF/HF" 0 1 1 35832
"189" "71.101.0801" "LF/HF" -15 101 7 "Chow" 0 1 0 25965
"190" "72.101.0808" "LF/HF" -8 101 7 "LF/HF" 0 1 1 24072
"191" "73.101.0813" "LF/HF" -3 101 7 "LF/HF" 0 1 1 28138
"192" "74.101.0816" "LF/HF" 0 101 7 "LF/HF" 0 1 1 35467
"193" "71.102.0801" "HF/HF" -15 102 7 "Chow" 0 1 0 24226
"194" "73.102.0813" "HF/HF" -3 102 7 "HF/HF" 1 1 1 31370
"195" "74.102.0816" "HF/HF" 0 102 7 "HF/HF" 1 1 1 42977
"196" "71.103.0801" "HF/HF" -15 103 7 "Chow" 0 1 0 45540
"197" "72.103.0808" "HF/HF" -8 103 7 "HF/HF" 1 1 1 32474
"198" "74.103.0816" "HF/HF" 0 103 7 "HF/HF" 1 1 1 35530
"199" "71.104.0801" "HF/HF" -15 104 7 "Chow" 0 1 0 22024
"200" "73.104.0813" "HF/HF" -3 104 7 "HF/HF" 1 1 1 44352
"201" "71.105.0801" "HF/HF" -15 105 7 "Chow" 0 1 0 31391
"202" "72.105.0808" "HF/HF" -8 105 7 "HF/HF" 1 1 1 27445
"203" "73.105.0813" "HF/HF" -3 105 7 "HF/HF" 1 1 1 45653
"204" "74.105.0816" "HF/HF" 0 105 7 "HF/HF" 1 1 1 12363
"205" "71.106.0801" "LF/LF" -15 106 7 "Chow" 0 1 0 29259
"206" "73.106.0813" "LF/LF" -3 106 7 "LF/LF" 0 0 1 16741
"207" "74.106.0816" "LF/LF" 0 106 7 "LF/LF" 0 0 1 36165
"208" "75.106.0819" "LF/LF" 3 106 7 "LF/LF" 0 0 1 34451
"209" "71.107.0801" "LF/LF" -15 107 7 "Chow" 0 1 0 32465
"210" "73.107.0813" "LF/LF" -3 107 7 "LF/LF" 0 0 1 39613
"211" "74.107.0816" "LF/LF" 0 107 7 "LF/LF" 0 0 1 31367
"212" "71.108.0801" "LF/LF" -15 108 7 "Chow" 0 1 0 30241
"213" "72.108.0808" "LF/LF" -8 108 7 "LF/LF" 0 0 1 28758
"214" "74.108.0816" "LF/LF" 0 108 7 "LF/LF" 0 0 1 37072
"215" "75.108.0819" "LF/LF" 3 108 7 "LF/LF" 0 0 1 41273
"216" "71.109.0801" "LF/LF" -15 109 7 "Chow" 0 1 0 28931
"217" "74.109.0816" "LF/LF" 0 109 7 "LF/LF" 0 0 1 36806
"218" "75.109.0819" "LF/LF" 3 109 7 "LF/LF" 0 0 1 32514
"219" "71.110.0801" "HF/LF" -15 110 7 "Chow" 0 1 0 28581
"220" "74.110.0816" "HF/LF" 0 110 7 "HF/LF" 1 0 1 4954
"221" "71.111.0801" "HF/LF" -15 111 7 "Chow" 0 1 0 27952
"222" "72.111.0808" "HF/LF" -8 111 7 "HF/LF" 1 0 1 43626
"223" "73.111.0813" "HF/LF" -3 111 7 "HF/LF" 1 0 1 2039
"224" "74.111.0816" "HF/LF" 0 111 7 "HF/LF" 1 0 1 14458
"225" "71.112.0801" "HF/LF" -15 112 7 "Chow" 0 1 0 26701
"226" "72.112.0808" "HF/LF" -8 112 7 "HF/LF" 1 0 1 36552
"227" "73.112.0813" "HF/LF" -3 112 7 "HF/LF" 1 0 1 5608
"228" "71.113.0801" "HF/LF" -15 113 7 "Chow" 0 1 0 4
"229" "72.113.0808" "HF/LF" -8 113 7 "HF/LF" 1 0 1 39612
"230" "73.113.0813" "HF/LF" -3 113 7 "HF/LF" 1 0 1 11695
"231" "74.113.0816" "HF/LF" 0 113 7 "HF/LF" 1 0 1 32629
